filename,x,y,w,h
PM-001.jpg,1376,1683,129,135
PM-002.jpg,1435,1604,172,147
PM-003.jpg,1997,1742,154,135
PM-004.jpg,2273,1668,197,154
PM-005.jpg,1475,1613,160,157
PM-006.jpg,2267,1674,212,187
PM-007.jpg,2329,1567,184,187
PM-008.jpg,1401,1524,181,197
PM-009.jpg,2150,1585,160,141
PM-010.jpg,1490,1779,169,175
PM-011.jpg,1435,1527,215,172
PM-012.jpg,2264,1533,206,181
PM-013.jpg,1401,1616,178,147
PM-014.jpg,1410,1631,169,154
PM-015.jpg,1465,1554,154,157
PM-016.jpg,2304,1683,190,169
PM-017.jpg,1342,1456,175,160
PM-018.jpg,2310,1539,181,135
PM-019.jpg,2249,1567,151,132
PM-020.jpg,1407,1785,181,169
PM-021.jpg,2365,1779,163,147
PM-022.jpg,1487,1637,151,169
PM-023.jpg,1453,1631,157,181
PM-024.jpg,1385,1837,181,178
PM-025.jpg,1327,1530,172,221
PM-026.jpg,2203,1622,181,163
PM-027.jpg,2307,1548,190,178
PM-028.jpg,2212,1610,160,154
PM-029.jpg,2276,1797,172,184
PM-030.jpg,2221,1647,194,132
PM-031.jpg,1318,1471,197,184
PM-032.jpg,1422,1573,166,166
PM-033.jpg,2319,1668,172,129
PM-034.jpg,1447,1524,178,147
PM-035.jpg,2295,1597,138,166
PM-036.jpg,1683,1478,233,154
PM-037.jpg,1422,1576,246,175
PM-038.jpg,1438,1631,203,175
PM-039.jpg,1395,1647,209,138
PM-040.jpg,2166,1601,218,218
PM-041.jpg,2236,1601,194,163
PM-042.jpg,1315,1573,187,233
PM-043.jpg,2387,1714,187,178
PM-044.jpg,1471,1554,209,154
PM-045.jpg,2264,1573,184,169
PM-046.jpg,1376,1502,141,172
PM-047.jpg,1499,1696,160,141
PM-048.jpg,2252,1616,144,151
PM-049.jpg,2230,1683,187,141
PM-050.jpg,1342,1610,163,144
PM-051.jpg,1355,1545,172,184
PM-052.jpg,1564,1554,197,141
PM-053.jpg,1450,1631,132,154
PM-054.jpg,1272,1554,218,169
PM-055.jpg,2233,1505,200,154
PM-056.jpg,2310,1527,200,169
PM-057.jpg,1561,1567,190,147
PM-058.jpg,2273,1616,212,175
PM-059.jpg,1355,1524,175,178
PM-060.jpg,1505,1364,160,135
PM-061.jpg,1379,1604,197,160
PM-062.jpg,1432,1610,151,129
PM-063.jpg,2258,1524,157,144
PM-064.jpg,1484,1628,175,184
PM-065.jpg,1438,1699,218,138
PM-066.jpg,1453,1484,169,132
PM-067.jpg,1410,1533,169,163
PM-068.jpg,2292,1726,175,135
PM-069.jpg,1389,1610,163,147
PM-070.jpg,2221,1558,190,151
PM-071.jpg,1484,1601,184,147
PM-072.jpg,2436,1588,212,203
PM-073.jpg,1435,1748,175,147
PM-074.jpg,1450,1610,187,184
PM-075.jpg,2249,1456,169,175
PM-076.jpg,1481,1530,190,135
PM-077.jpg,2243,1683,184,129
PM-078.jpg,2292,1754,203,151
PM-079.jpg,1432,1542,194,151
PM-080.jpg,1502,1644,203,157
PM-081.jpg,1465,1588,187,111
PM-082.jpg,2249,1616,197,132
PM-083.jpg,1518,1511,203,172
PM-084.jpg,2236,1450,154,147
PM-085.jpg,2289,1533,163,147
PM-086.jpg,1425,1647,203,138
PM-087.jpg,2295,1665,184,141
PM-088.jpg,1610,1938,187,169
PM-089.jpg,2249,1527,154,172
PM-090.jpg,2258,1594,187,169
PM-091.jpg,1392,1548,206,209
PM-092.jpg,2279,1640,221,169
PM-093.jpg,2227,1561,187,187
PM-094.jpg,1576,1779,157,157
PM-095.jpg,1502,1594,169,144
PM-096.jpg,1514,1554,144,169
PM-097.jpg,2264,1585,184,200
PM-098.jpg,1465,1644,154,147
PM-099.jpg,1373,1610,203,160
PM-100.jpg,1385,1665,181,163
