filename,x,y,w,h
Healthy-001.jpg,1425,1601,154,101
Healthy-002.jpg,1521,1558,160,144
Healthy-003.jpg,2203,1601,197,151
Healthy-004.jpg,1450,1613,175,151
Healthy-005.jpg,2353,1597,200,175
Healthy-006.jpg,1376,1665,200,154
Healthy-007.jpg,1468,1625,187,141
Healthy-008.jpg,2172,1637,233,157
Healthy-009.jpg,2276,1693,218,172
Healthy-010.jpg,1435,1659,215,175
Healthy-011.jpg,2273,1628,190,144
Healthy-012.jpg,1468,1601,200,135
Healthy-013.jpg,2261,1616,215,169
Healthy-014.jpg,2310,1696,203,194
Healthy-015.jpg,2227,1588,206,203
Healthy-016.jpg,2187,1680,200,187
Healthy-017.jpg,2203,1625,197,175
Healthy-018.jpg,973,1010,127,106
Healthy-019.jpg,2227,1674,237,172
Healthy-020.jpg,1447,1631,218,203
Healthy-021.jpg,2267,1573,215,166
Healthy-022.jpg,1475,1542,181,166
Healthy-023.jpg,2153,1628,230,206
Healthy-024.jpg,1456,1524,203,197
Healthy-025.jpg,2203,1659,243,178
Healthy-026.jpg,1333,1628,233,194
Healthy-027.jpg,1441,1680,178,144
Healthy-028.jpg,2193,1511,249,230
Healthy-029.jpg,1422,1585,160,141
Healthy-030.jpg,1438,1680,190,169
Healthy-031.jpg,2252,1554,181,154
Healthy-032.jpg,2215,1542,187,144
Healthy-033.jpg,1389,1548,224,160
Healthy-034.jpg,2246,1505,215,215
Healthy-035.jpg,2236,1604,178,187
Healthy-036.jpg,1551,1622,197,197
Healthy-037.jpg,2196,1613,218,181
Healthy-038.jpg,1410,1561,240,194
Healthy-039.jpg,1422,1625,184,184
Healthy-040.jpg,1481,1631,218,181
Healthy-041.jpg,1385,1628,187,141
Healthy-042.jpg,2218,1542,184,157
Healthy-043.jpg,1422,1625,212,187
Healthy-044.jpg,2261,1545,221,237
Healthy-045.jpg,2227,1748,249,200
Healthy-046.jpg,2233,1604,227,221
Healthy-047.jpg,1425,1644,215,184
Healthy-048.jpg,1465,1613,203,166
Healthy-049.jpg,1395,1665,230,157
Healthy-050.jpg,2273,1616,233,224
Healthy-051.jpg,1385,1631,240,178
Healthy-052.jpg,1392,1530,258,221
Healthy-053.jpg,2230,1573,206,197
Healthy-054.jpg,2233,1490,218,181
Healthy-055.jpg,1422,1548,237,203
Healthy-056.jpg,2243,1659,255,187
Healthy-057.jpg,1465,1594,187,154
Healthy-058.jpg,2249,1637,233,209
Healthy-059.jpg,1453,1588,206,178
Healthy-060.jpg,1438,1524,243,190
Healthy-061.jpg,2233,1683,227,178
Healthy-062.jpg,2227,1582,243,200
Healthy-063.jpg,1435,1616,237,181
Healthy-064.jpg,1475,1628,224,166
Healthy-065.jpg,1484,1499,233,215
Healthy-066.jpg,2221,1622,227,212
Healthy-067.jpg,2307,1576,206,187
Healthy-068.jpg,2230,1644,197,151
Healthy-069.jpg,2169,1653,246,157
Healthy-070.jpg,1551,1708,227,138
Healthy-071.jpg,2212,1594,255,141
Healthy-072.jpg,2227,1693,255,172
Healthy-073.jpg,2252,1659,233,166
Healthy-074.jpg,1370,1613,203,194
Healthy-075.jpg,1385,1576,270,209
Healthy-076.jpg,1385,1585,280,169
Healthy-077.jpg,1407,1622,252,190
Healthy-078.jpg,1468,1644,187,175
Healthy-079.jpg,1407,1545,258,233
Healthy-080.jpg,1425,1601,230,209
Healthy-081.jpg,1404,1730,203,187
Healthy-082.jpg,2184,1628,264,197
Healthy-083.jpg,2267,1640,230,181
Healthy-084.jpg,1425,1558,243,197
Healthy-085.jpg,2249,1604,215,206
Healthy-086.jpg,2267,1582,212,187
Healthy-087.jpg,2282,1582,203,218
Healthy-088.jpg,2212,1561,243,218
Healthy-089.jpg,2249,1567,249,197
Healthy-090.jpg,2172,1588,258,221
Healthy-091.jpg,1468,1794,221,221
Healthy-092.jpg,1447,1545,221,218
Healthy-093.jpg,2289,1573,209,221
Healthy-094.jpg,2282,1601,230,212
Healthy-095.jpg,2304,1539,233,267
Healthy-096.jpg,2310,1597,243,227
Healthy-097.jpg,2310,1594,258,184
Healthy-098.jpg,1625,1505,181,166
Healthy-099.jpg,1416,1505,221,203
Healthy-100.jpg,2292,1567,169,157
